Orth,Phon
b,b
c,c
ʃ,ch
d,d
f,f
g,ɡ
ʒ,ʒ
ɲ,gn
j,j
l,l
m,m
n,n
ŋ,ng
p,p
r,r
s,s
t,t
v,v
w,w
ks,x
z,z
a,a
ɑ,â
ɛ,ai
ɛn,ain
aî,ɛ
ai,aï
au,aou
o,au
ɛ,ay
ɛj,aye
ə,e
e,é
ɛ,è
o,eau
œ,eu
ø,eû
i,i
ɔ,o
o,ô
oe,oe
wa,oê
ɔɛ,oë
wa,oi
wa,oie
oi,oï
u,ou
way,oy
y,u
ɥɛ,ue
ɥ,ɥ
tj,ti
ɥil,uil
ɡ,gu
il,il
ij,ill
ɑ̃,ẫ
ɛ̃,aî̃
œ̃,œ̃
jɛ̃,ien
ɔ̃,õ
ɥɛ̃,uẽ
wɛ̃,ouễ
